company_name,status,size,suburb/town,state,ABN,URL
North Burleigh Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Miami          ","
            QLD          ",32250692765,https://www.acnc.gov.au/charity/123316d4472f3490355267f6702e30fd
North Curl Curl Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            North Curl Curl          ","
            NSW          ",74095397853,https://www.acnc.gov.au/charity/d3082e19b31e42792c07f21a1bbc2223
North Haven Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            North Haven          ","
            SA          ",26923941238,https://www.acnc.gov.au/charity/348b8d25c5e95ed90641eda5573909fb
Esperance Goldfields Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Esperance          ","
            WA          ",29152695474,https://www.acnc.gov.au/charity/0caa3b35c4fe998a6f0bc23b728c2518
Fairhaven Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Aireys Inlet          ","
            VIC          ",46931223741,https://www.acnc.gov.au/charity/257967a08fe21bcfb1848b505a8122c8
Fingal Beach Surf Life Saving Club incorporated,"
            Registered          ","
            Small          ","
            Fingal Bay          ","
            NSW          ",80879052334,https://www.acnc.gov.au/charity/df8cb5a964021f8092d622ed3e997813
Forrest Beach Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Allingham          ","
            QLD          ",32547908820,https://www.acnc.gov.au/charity/da81068a4a72963517d82509a1c6bb0a
Garie Surf Life Saving Club Incorp,"
            Registered          ","
            Small          ","
            Engadine          ","
            NSW          ",62248693377,https://www.acnc.gov.au/charity/0cfdab08a029e601067216efdf112596
Glenelg Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Glenelg          ","
            SA          ",62134722716,https://www.acnc.gov.au/charity/d924e0447f006a1b9fab904f10fa99c7
Gove Peninsula Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Nhulunbuy          ","
            NT          ",73148533994,https://www.acnc.gov.au/charity/63b89516854e3d38ef27a335102825f1
Hallett Cove Surf Lifesaving Club Incorporated,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",78836437517,https://www.acnc.gov.au/charity/87bb663131acf24216e0e195ece7f03d
Henley Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Henley Beach South          ","
            SA          ",69573136317,https://www.acnc.gov.au/charity/2f292eb2968def51a8a40a2618d4e3e6
